Reporting Year,Building ID,MapLot,Year Added,Annual Report Received,Report Type,Buildings Included,Parent Building ID,Assessor Address,Address Point GIS,Grantee,Property Type,Year Built,Property GFA - Self Reported (ft2),Total GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal)
2018,680-2,47-85,2015,Yes,Single,,,84 Wadsworth St,"60 Wadsworth St
Cambridge, MA",Massachusetts Institute Of Technology,College/University,1967,172359,977,4896.7
2018,662-7,69-62,2015,Yes,Parent,"662-7, 662-11",,20 Sidney St,"20 Sidney St
Cambridge, MA",Massachusetts Institute Of Technology,Supermarket/Grocery Store,1999,42419,811.2,1086
2018,665-4,92-124,2015,Yes,Single,,,88 Auburn Pk,"70 Brookline St
Cambridge, MA",Massachusetts Institute Of Technology,Multifamily Housing,2000,19156,78.4,799.8
2018,662-1,69-159,2015,No,Single,,,350 Massachusetts Ave,"350 Massachusetts Ave
Cambridge, MA",Massachusetts Institute Of Technology,,,,,
2018,699-12,55-20,2016,Yes,Parent,"699-12, 699-17",,184 Albany St,"184 Albany St
Cambridge, MA",Massachusetts Institute Of Technology,College/University,1980,120137,1679.3,136.1
2018,708-12,57-171,2015,Yes,Single,,,106 Vassar St,"48-R Massachusetts Ave
Cambridge, MA",Massachusetts Institute Of Technology,College/University,1955,5339,99.3,15.7
2018,665-15,92-130,2015,Yes,Single,,,80 Auburn Pk,"117 Pacific St
Cambridge, MA",Massachusetts Institute Of Technology,Multifamily Housing,1990,3449,9.8,133.8
2018,668-38,52A-21,2015,Yes,Single,,,60 Vassar St,"50 Vassar St
Cambridge, MA",Massachusetts Institute Of Technology,College/University,1973,84329,1206.2,878.9
2018,680-10,47-90,2015,Yes,Single,,,100 Main St,"30 Memorial Dr
Cambridge, MA",Massachusetts Institute Of Technology,College/University,1994,30130,222.8,68.8
2018,655-2,70-22,2016,Yes,Single,,,730 Main St,"730 Main St
Cambridge, MA",Massachusetts Institute Of Technology,Office,1910,38000,2.8,
2018,665-11,92-130,2015,Yes,Child,"665-10, 665-11",,80 Auburn Pk,"94 Brookline St
Cambridge, MA",Massachusetts Institute Of Technology,Multifamily Housing,1990,12240,37.1,474.8
